# t,x,y,z,qx,qy,qz,qw
1772335303.319040,20.938462,-0.184768,4.708346,0.996524,0.000230,0.083215,0.003990
1772335303.349041,21.192026,-0.183825,4.728148,0.996530,0.000130,0.083149,0.003835
1772335303.379041,21.446553,-0.182814,4.747890,0.996551,0.000034,0.082896,0.003668
1772335303.409042,21.702051,-0.181739,4.767612,0.996564,-0.000058,0.082752,0.003498
1772335303.439043,21.958493,-0.180601,4.787259,0.996587,-0.000146,0.082478,0.003316
1772335303.469043,22.215880,-0.179404,4.806862,0.996602,-0.000230,0.082304,0.003136
1772335303.499044,22.474194,-0.178152,4.826358,0.996632,-0.000310,0.081945,0.002945
1772335303.529045,22.733437,-0.176848,4.845788,0.996648,-0.000386,0.081758,0.002753
1772335303.559045,22.993599,-0.175494,4.865178,0.996661,-0.000457,0.081612,0.002559
1772335303.589046,23.254669,-0.174095,4.884494,0.996689,-0.000525,0.081276,0.002358
1772335303.619047,23.516642,-0.172654,4.903744,0.996708,-0.000588,0.081042,0.002160
1772335303.649047,23.779499,-0.171174,4.922886,0.996737,-0.000646,0.080691,0.001950
1772335303.679048,24.043232,-0.169660,4.941930,0.996762,-0.000702,0.080387,0.001750
1772335303.709049,24.307829,-0.168114,4.960858,0.996793,-0.000751,0.080002,0.001535
1772335303.739049,24.573284,-0.166541,4.979677,0.996817,-0.000797,0.079707,0.001327
1772335303.769050,24.839579,-0.164945,4.998357,0.996853,-0.000838,0.079263,0.001106
1772335303.799051,25.106705,-0.163328,5.016909,0.996880,-0.000874,0.078926,0.000888
1772335303.829051,25.374659,-0.161695,5.035366,0.996899,-0.000905,0.078689,0.000656
1772335303.859052,25.643433,-0.160050,5.053741,0.996925,-0.000932,0.078349,0.000429
1772335303.889052,25.913008,-0.158397,5.071972,0.996968,-0.000955,0.077808,0.000217
1772335303.919053,26.183373,-0.156739,5.090077,0.996994,-0.000969,0.077479,-0.000046
1772335303.949054,26.454518,-0.155082,5.108040,0.997018,-0.000981,0.077160,-0.000286
1772335303.979054,26.726443,-0.153429,5.125905,0.997043,-0.000985,0.076839,-0.000558
1772335304.009055,26.999136,-0.151785,5.143658,0.997071,-0.000984,0.076474,-0.000818
1772335304.039056,27.272583,-0.150155,5.161329,0.997094,-0.000977,0.076167,-0.001101
1772335304.069056,27.546774,-0.148544,5.178882,0.997122,-0.000964,0.075800,-0.001382
1772335304.099057,27.821705,-0.146956,5.196350,0.997143,-0.000944,0.075515,-0.001683
1772335304.129058,28.097365,-0.145397,5.213711,0.997169,-0.000919,0.075162,-0.001978
1772335304.159058,28.373749,-0.143872,5.231006,0.997188,-0.000886,0.074895,-0.002293
1772335304.189059,28.650847,-0.142386,5.248215,0.997209,-0.000847,0.074609,-0.002617
1772335304.219059,28.928656,-0.140946,5.265371,0.997227,-0.000801,0.074351,-0.002941
1772335304.249060,29.207161,-0.139557,5.282450,0.997249,-0.000748,0.074052,-0.003280
1772335304.279061,29.486363,-0.138226,5.299489,0.997262,-0.000687,0.073851,-0.003630
1772335304.309061,29.766249,-0.136957,5.316470,0.997281,-0.000620,0.073587,-0.003977
1772335304.339062,30.046820,-0.135758,5.333440,0.997291,-0.000546,0.073423,-0.004341
1772335304.369063,30.328070,-0.134635,5.350387,0.997303,-0.000463,0.073248,-0.004717
1772335304.399063,30.609995,-0.133595,5.367345,0.997311,-0.000374,0.073106,-0.005086
1772335304.429064,30.892588,-0.132644,5.384297,0.997322,-0.000276,0.072929,-0.005469
1772335304.459064,31.175848,-0.131790,5.401295,0.997329,-0.000176,0.072810,-0.005799
1772335304.489065,31.459767,-0.131038,5.418302,0.997334,-0.000060,0.072701,-0.006239
1772335304.519066,31.744345,-0.130397,5.435359,0.997333,0.000058,0.072681,-0.006618
1772335304.549067,32.029577,-0.129872,5.452475,0.997333,0.000188,0.072650,-0.007052
1772335304.576067,32.286856,-0.129508,5.467964,0.997329,0.000309,0.072667,-0.007397
1772335304.597068,32.487326,-0.129297,5.480046,0.997332,0.000410,0.072585,-0.007703
1772335304.618068,32.688116,-0.129154,5.492198,0.997324,0.000512,0.072673,-0.007984
1772335304.648069,32.975523,-0.129072,5.509690,0.997305,0.000667,0.072875,-0.008414
1772335304.669069,33.177103,-0.129104,5.522040,0.997295,0.000777,0.072979,-0.008682
1772335304.696070,33.436754,-0.129257,5.538015,0.997294,0.000929,0.072949,-0.009051
1772335304.717070,33.639071,-0.129467,5.550512,0.997291,0.001051,0.072948,-0.009344
